Samples	Groups	Groups_RV	RV
M390	Group I	Group I	-RV
M511	Group I	Group I	-RV
M353	Group I	Group I	-RV
M484	Group I	Group I	-RV
M442	Group I	Group I	-RV
M386	Group I	Group I	-RV
M507	Group I	Group I	-RV
M373	Group I	Group I	-RV
M449	Group I	Group I	-RV
M480	Group I	Group I	-RV
M420	Group I	Group I	-RV
M517	Group I	Group I	-RV
M481	Group I	Group I	-RV
M516	Group I	Group I	-RV
M529	Group I	Group I	-RV
M357	Group I	Group I	-RV
M444	Group I	Group I	-RV
M417	Group I	Group I	-RV
M435	Group I	Group I	-RV
M524	Group I	Group I	-RV
M473	Group I	Group I	-RV
M396	Group I	Group I	-RV
M352	Group I	Group I	-RV
M367	Group I	Group I	-RV
M474	Group I	Group I	-RV
M388	Group I	Group I	-RV
M465	Group I	Group I	-RV
M485	Group I	Group I	-RV
M487	Group I	Group I	-RV
M375	Group I	Group I	-RV
M494	Group II	Group II	-RV
M374	Group II	Group II	-RV
M471	Group II	Group II	-RV
M359	Group II	Group II	-RV
M530	Group II	+RV	+RV
M366	Group II	Group II	-RV
M436	Group II	Group II	-RV
M413	Group II	Group II	-RV
M384	Group II	+RV	+RV
M452	Group II	Group II	-RV
M318	Group II	Group II	-RV
M476	Group II	Group II	-RV
M526	Group II	+RV	+RV
M509	Group II	Group II	-RV
M433	Group II	+RV	+RV
M379	Group II	+RV	+RV
M499	Group II	Group II	-RV
M446	Group II	Group II	-RV
M428	Group II	Group II	-RV
M398	Group II	Group II	-RV
M427	Group II	Group II	-RV
M477	Group II	Group II	-RV
M513	Group II	Group II	-RV
M498	Group II	Group II	-RV
M490	Group II	Group II	-RV
M441	Group II	Group II	-RV
M501	Group II	Group II	-RV
M488	Group II	Group II	-RV
M475	Group II	Group II	-RV
M448	Group II	Group II	-RV
M399	Group II	Group II	-RV
M430	Group II	Group II	-RV
M393	Group II	Group II	-RV
M372	Group II	Group II	-RV
M450	Group II	Group II	-RV
M463	Group II	Group II	-RV
M414	Group II	Group II	-RV
M443	Group II	Group II	-RV
M479	Group II	Group II	-RV
M458	Group II	Group II	-RV
M407	Group II	Group II	-RV
M431	Group II	Group II	-RV

